CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RM_squared,LSTAT_log,price_per_room,RM_category
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,43.230625,1.7884205679625405,3.650190114068441,Large
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6,41.229241,2.316487998163037,3.363961999688522,Large
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7,51.624224999999996,1.6154199841116479,4.829505915100905,Very Large
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4,48.972004000000005,1.3711807233098425,4.7727922263503855,Large
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2,51.079609000000005,1.8453002361560848,5.065062263886945,Very Large
0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7,41.344899999999996,1.8261608959453874,4.463452566096423,Large
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9,36.144144,2.5974910105351463,3.8090485695276115,Large
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311.0,15.2,396.9,19.15,27.1,38.093584,3.0032042883926917,4.390797148412185,Large
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5,31.708161000000004,3.4317265866969784,2.9302077783697387,Medium
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9,36.048016,2.89591193827178,3.1479013990672886,Large
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0,40.666129,3.065724645374026,2.352203230359103,Large
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9,36.108081000000006,2.658159431488745,3.1452820768846728,Large
0.09378,12.5,7.87,0,0.524,5.889,39.0,5.4509,5,311.0,15.2,390.5,15.71,21.7,34.680321,2.8160073426073025,3.6848361351672607,Medium
0.62976,0.0,8.14,0,0.538,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,20.4,35.390601,2.225704048658088,3.4291477559253654,Medium
0.63796,0.0,8.14,0,0.538,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26,18.2,37.161216,2.421256622711544,2.985564304461942,Large
